Date,Temperature
1/24/15 5:00,53.56
1/24/15 6:00,53.4
1/24/15 7:00,53.59
1/24/15 8:00,52.85
1/24/15 9:00,51.85
1/24/15 10:00,51.21
1/24/15 11:00,51.63
1/24/15 12:00,54.19
1/24/15 13:00,56.38
1/24/15 14:00,57.64
1/24/15 15:00,58.53
1/24/15 16:00,60.53
1/24/15 17:00,60.28
1/24/15 18:00,60.53
1/24/15 19:00,58.98
1/24/15 20:00,58.09
1/24/15 21:00,56.82
1/24/15 22:00,56.2
1/24/15 23:00,54.45
1/25/15 0:00,54.19
1/25/15 1:00,53.08
1/25/15 2:00,52.71
1/25/15 3:00,52.56
1/25/15 4:00,51.01
1/25/15 5:00,50.78
1/25/15 6:00,45
1/25/15 7:00,49.04
1/25/15 8:00,47.52
1/25/15 9:00,47.04
1/25/15 10:00,46.89
1/25/15 11:00,47.86
1/25/15 12:00,50.02
1/25/15 13:00,50.12
1/25/15 14:00,51.75
1/25/15 15:00,52.63
1/25/15 16:00,54.74
1/25/15 17:00,56.46
1/25/15 18:00,57.71
1/25/15 19:00,58.37
1/25/15 20:00,59
1/25/15 21:00,56.53
1/25/15 22:00,56.26
1/25/15 23:00,54.86
1/26/15 0:00,54.12
1/26/15 1:00,52.89
1/26/15 2:00,51.59
1/26/15 3:00,51.08
1/26/15 4:00,50.22
1/26/15 5:00,50.7
1/26/15 6:00,50.22
1/26/15 7:00,49.78
1/26/15 8:00,50.74
1/26/15 9:00,49.89
1/26/15 10:00,49.37
1/26/15 11:00,49.67
1/26/15 12:00,51.82
1/26/15 13:00,53.23
1/26/15 14:00,55.08
1/26/15 15:00,57.71
1/26/15 16:00,58.75
1/26/15 17:00,60.03
1/26/15 18:00,60.06
1/26/15 19:00,59.07
1/26/15 20:00,59.49
1/26/15 21:00,58.49
1/26/15 22:00,58.05
1/26/15 23:00,57.2
1/27/15 0:00,56.45
1/27/15 1:00,56.16
1/27/15 2:00,55.71
1/27/15 3:00,55.45
1/27/15 4:00,55.71
1/27/15 5:00,55.82
1/27/15 6:00,57.05
1/27/15 7:00,57.3
1/27/15 8:00,58.23
1/27/15 9:00,58.09
1/27/15 10:00,58.44
1/27/15 11:00,58.84
1/27/15 12:00,60.33
1/27/15 13:00,60.61
1/27/15 14:00,62.87
1/27/15 15:00,62.36
1/27/15 16:00,61.32
1/27/15 17:00,63.24
1/27/15 18:00,64.75
1/27/15 19:00,63.52
1/27/15 20:00,61.61
1/27/15 21:00,59.24
1/27/15 22:00,58.67
1/27/15 23:00,58.53
1/28/15 0:00,57.3
1/28/15 1:00,56.23
1/28/15 2:00,54.56
1/28/15 3:00,53.19
1/28/15 4:00,53.15
1/28/15 5:00,53.12
1/28/15 6:00,52.08
1/28/15 7:00,51.17
1/28/15 8:00,50.77
1/28/15 9:00,50.48
1/28/15 10:00,50.77
1/28/15 11:00,51.67
1/28/15 12:00,54.37
1/28/15 13:00,55.04
1/28/15 14:00,56.04
1/28/15 15:00,57.55
1/28/15 16:00,59.25
1/28/15 17:00,59.82
1/28/15 18:00,60.95
1/28/15 19:00,61.52
1/28/15 20:00,60.74
1/28/15 21:00,58
1/28/15 22:00,57.67
1/28/15 23:00,56.45
1/29/15 0:00,56.08
1/29/15 1:00,55.08
1/29/15 2:00,54.12
1/29/15 3:00,53.12
1/29/15 4:00,52.26
1/29/15 5:00,51.81
1/29/15 6:00,51.14
1/29/15 7:00,51.22
1/29/15 8:00,50.62
1/29/15 9:00,51.22
1/29/15 10:00,49.96
1/29/15 11:00,50.37
1/29/15 12:00,53.39
1/29/15 13:00,54.12
1/29/15 14:00,55.34
1/29/15 15:00,57.09
1/29/15 16:00,58.57
1/29/15 17:00,61.71
1/29/15 18:00,62.83
1/29/15 19:00,62.12
1/29/15 20:00,60.89
1/29/15 21:00,59.08
1/29/15 22:00,58.08
1/29/15 23:00,56.56
1/30/15 0:00,56.08
1/30/15 1:00,54.64
1/30/15 2:00,54.56
1/30/15 3:00,54.33
1/30/15 4:00,53.19
1/30/15 5:00,52.37
1/30/15 6:00,51.57
1/30/15 7:00,51.44
1/30/15 8:00,51.96
1/30/15 9:00,52.63
1/30/15 10:00,52
1/30/15 11:00,52
1/30/15 12:00,52.6
1/30/15 13:00,52.92
1/30/15 14:00,53.52
1/30/15 15:00,53.8
1/30/15 16:00,56.07
1/30/15 17:00,58.97
1/30/15 18:00,60.83
1/30/15 19:00,60.75
1/30/15 20:00,58.89
1/30/15 21:00,57.22
1/30/15 22:00,56.71
1/30/15 23:00,55.85
1/31/15 0:00,55.11
1/31/15 1:00,54.12
1/31/15 2:00,53.14
1/31/15 3:00,52.77
1/31/15 4:00,52
1/31/15 5:00,51.12
1/31/15 6:00,51.64
1/31/15 7:00,50.29
1/31/15 8:00,59.04
1/31/15 9:00,60.62
1/31/15 10:00,60.16
1/31/15 11:00,59.71
1/31/15 12:00,63.88
1/31/15 13:00,64.52
1/31/15 14:00,64.95
1/31/15 15:00,66.08
1/31/15 16:00,67.36
1/31/15 17:00,68.93
1/31/15 18:00,69.7
1/31/15 19:00,71.47
1/31/15 20:00,67.06
1/31/15 21:00,64.47
1/31/15 22:00,60.57
1/31/15 23:00,58.6
2/1/15 0:00,57.01
2/1/15 1:00,55.34
2/1/15 2:00,54.74
2/1/15 3:00,54.26
2/1/15 4:00,52.49
2/1/15 5:00,53.18
2/1/15 6:00,50.9
2/1/15 7:00,51.4
2/1/15 8:00,50.58
2/1/15 9:00,50.65
2/1/15 10:00,50.33
2/1/15 11:00,51.22
2/1/15 12:00,53.19
2/1/15 13:00,54.78
2/1/15 14:00,55.29
2/1/15 15:00,56.23
2/1/15 16:00,59.86
